id	primary_name	subordinate_name_1	subordinate_name_2	number	dates	qualifier	source_id	rules_id	sort_name	authority_id
2	Commercial Telephone Workers Union (Illinois)	NULL	NULL	NULL	NULL	NULL	237	NULL	Commercial Telephone Workers Union (Illinois)	no94041918
8	Western Electric Company	NULL	NULL	NULL	NULL	NULL	237	NULL	Western Electric Company	n50064949
13	Liberty University	NULL	NULL	NULL	NULL	NULL	237	NULL	Liberty University	no2007063831
16	Chicago Historical Society	NULL	NULL	NULL	NULL	NULL	237	NULL	Chicago Historical Society	n79106194
17	Women's International League for Peace and Freedom	NULL	NULL	NULL	NULL	NULL	237	242	Women's International League for Peace and Freedom	n50081271
21	Screen Actors Guild	NULL	NULL	NULL	NULL	NULL	237	NULL	Screen Actors Guild	n80161606
28	Italian Actors Union	NULL	NULL	NULL	NULL	NULL	236	NULL	Italian Actors Union	no2011122300
30	Friends of the Abraham Lincoln Brigade	NULL	NULL	NULL	NULL	NULL	237	NULL	Friends of the Abraham Lincoln Brigade	nr99000072
31	Medical Bureau and North American Committee to Aid Spanish Democracy	NULL	NULL	NULL	NULL	NULL	237	NULL	Medical Bureau and North American Committee to Aid Spanish Democracy	nr98040185
34	National Emergency Civil Liberties Committee (U.S.)	NULL	NULL	NULL	NULL	NULL	237	NULL	National Emergency Civil Liberties Committee (U.S.)	n82217470
35	Amalgamated Ladies' Garment Cutters' Union	NULL	NULL	NULL	NULL	NULL	237	NULL	Amalgamated Ladies' Garment Cutters' Union	nr92008115
38	American Federation of Musicians	NULL	NULL	NULL	NULL	NULL	237	NULL	American Federation of Musicians	n81132258
41	Metropolitan Opera (New York, N.Y.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Metropolitan Opera (New York, N.Y.)	n50074748
45	Veterans of the Abraham Lincoln Brigade	Bay Area Post	NULL	NULL	NULL	NULL	237	NULL	Veterans of the Abraham Lincoln Brigade. Bay Area Post	nr93015926
46	Medical Bureau to Aid Spanish Democracy	NULL	NULL	NULL	NULL	NULL	237	NULL	Medical Bureau to Aid Spanish Democracy	nr98043919
47	North American Committee to Aid Spanish Democracy	NULL	NULL	NULL	NULL	NULL	237	NULL	North American Committee to Aid Spanish Democracy	nr98043925
50	American Association for a Democratic Germany	NULL	NULL	NULL	NULL	NULL	237	NULL	American Association for a Democratic Germany	n88172765
52	Hebrew Sheltering and Immigrant Aid Society of America	NULL	NULL	NULL	NULL	NULL	237	NULL	Hebrew Sheltering and Immigrant Aid Society of America	n81056550
53	Institute of Pacific Relations	NULL	NULL	NULL	NULL	NULL	237	NULL	Institute of Pacific Relations	n80075891
54	International Rescue Committee	NULL	NULL	NULL	NULL	NULL	237	NULL	International Rescue Committee	n80073837
55	Union for Democratic Action	NULL	NULL	NULL	NULL	NULL	237	NULL	Union for Democratic Action	n97059477
57	International Publishers	NULL	NULL	NULL	NULL	NULL	237	NULL	International Publishers	nr90024785
